record_class,criticality,kind,identifier,source,line,symbol,runtime_surface,table,column,alias,message,purpose,query_id,sql_preview
intentional_absence_probe,INFO,legacy_absence_probe,images.userid,src/infra/postgres/database.rs,262,stReadDatabaseFingerprint,,images,userid,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,reactions_log.id,src/infra/postgres/database.rs,265,stReadDatabaseFingerprint,,reactions_log,id,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,reactions_log.msgid,src/infra/postgres/database.rs,266,stReadDatabaseFingerprint,,reactions_log,msgid,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,sections.add_info,src/infra/postgres/database.rs,257,stReadDatabaseFingerprint,,sections,add_info,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,sections.image_allowed,src/infra/postgres/database.rs,258,stReadDatabaseFingerprint,,sections,image_allowed,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,sections.preformat,src/infra/postgres/database.rs,256,stReadDatabaseFingerprint,,sections,preformat,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.image,src/infra/postgres/database.rs,250,stReadDatabaseFingerprint,,topics,image,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.no_comments,src/infra/postgres/database.rs,249,stReadDatabaseFingerprint,,topics,no_comments,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.score_loss,src/infra/postgres/database.rs,252,stReadDatabaseFingerprint,,topics,score_loss,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.stat2,src/infra/postgres/database.rs,247,stReadDatabaseFingerprint,,topics,stat2,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.stat4,src/infra/postgres/database.rs,248,stReadDatabaseFingerprint,,topics,stat4,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,topics.warning_counter,src/infra/postgres/database.rs,251,stReadDatabaseFingerprint,,topics,warning_counter,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,users.force_unlogin,src/infra/postgres/database.rs,246,stReadDatabaseFingerprint,,users,force_unlogin,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,users.settings,src/infra/postgres/database.rs,245,stReadDatabaseFingerprint,,users,settings,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
intentional_absence_probe,INFO,legacy_absence_probe,users.style,src/infra/postgres/database.rs,244,stReadDatabaseFingerprint,,users,style,,,negative schema-fingerprint probe (not a column dereference),b0e3b4395bc9,
